'blue chip' share	蓝筹股
soar	v. 高飞；翱翔 vi. 升空，升腾
sob	n.  v. 啜泣，呜咽，抽噎 vi. 抽噎；啜泣，抽泣，呜咽 vi.&n. 呜咽，哭泣 vt.&vi.
soccer	(football BrE)n.足球（运动），英式足球，足球 n. <美>英式足球，<美>英式足球，足球，足球，足球；英式足球，（英式）足球
soccer ball	足球，（英式）足球
social	adj. 社交的，交际的，社交的，交际的；社会的，社交的；社会的，社会的，社会的；社交的
social media	社群媒体
social rules	社交规则
social studies	社会学科
social welfare programs	社会福利项目
social worker	n. 社会工作者
socialise	vt. 交友，交谊
socialism	n. 社会主义
socialist	adj.  n. 社会主义者
socialize	v. 交际
societal	adj. 社会的
society	n. 协会；社会，社会，社团，协会；社会
sock	短袜，袜子 n. 短袜
sock(s)	袜子（复数）
socket	n. 孔；洞；眼窝，插座，插座，管座，插口
socks	短袜，袜子
soda	苏打水 n. 苏打
sodium	n. 钠
sofa	沙发，长沙发 n. 沙发，长沙发，（长）沙发
soft	柔软的，软的 adj. 柔软的，柔软的；柔和的，柔软的；软的，软的；柔软的，轻柔的；柔软的 n. 软的；温和的
soft copy	软拷贝
soft drink	软饮料（不含酒精）
soft toy	软体玩具；布绒玩具
softball	n. 垒球（运动）
soften	vt.&vi. 变软，软化
softly	轻柔地 adv. 柔软地，轻轻地
software	软件 n. 软件，电脑软件
soil	土壤，土地，泥土，泥土，土壤 n. 土壤，土壤；土地，土；土壤，泥土，土壤
solar	adj. 太阳的，太阳的，与太阳有关的，太阳的，太阳光的，太阳的；与太阳有关的，太阳的；关于太阳的，太阳的；利用太阳光的，太阳的；日光的，太阳能的；太阳的
solar eclipse	日食
solar energy	n. 太阳能
solar system	太阳系，星系；（尤指）太阳系
soldier	士兵，军人 n. 军人；士兵，士兵，士兵，战士，战士，士兵
sole	adj. 单独的，唯一的 n. 鞋底
solemn	adj. 严肃的，庄严的，郑重的，庄严的；隆重的
solemnly	adv. 严肃地，郑重地
solicitor	n. 律师
solid	adj. 固体的；结实的，坚硬的 n.
solid-colored	单色的
solo	独奏 adj. 独奏的 n. 独奏;独唱
soloist	n. 独奏者；独唱者
solute	n. 溶解物；溶质
solution	n. 解决，解决办法，解决办法，解答，解决办法；处理手段，解决办法；答案，解决方法，解决（办法），解答，解决；解答，解答，解决方法；溶液，解答；答案
solve	解决 v. 解决问题，解决（问题），解决，处理，解决；处理，解决；解答 vt. 解决，解决，解答，解决；解答
solve the problem	解决问题
solving	解决
somatic	adj. 躯体的；肉体的；细胞体的
some	一些，一些（用于肯定句中），一些，若干，一些；一点 adj.  det. 一些，若干 det.&pron. 一些 pron.
some day	将来有一天，总有一天，某一天，将来有一天
some time	一段时间
somebody	n.  pron. 有人；某人，某人，某人，有人，某人；有人
someday	有朝一日 adv. 将来有一天，有一天；有朝一日
somehow	adv. 不知为什么；不知怎么地，以……方式；不知怎么地，以某种方式，以某种方式（或方法），用某种方法，由于某种未知的原因
someone	某人 pron. 某人，某人；有人
somersaulting	n. 翻筋斗
something	某事物，某种东西，某事，某物，某事；某物，某物，某物（事），某事（物） pron. 某事物；某种东西，某事，某物，某事；某物，某物，某事
something of	多少有点
sometime	某个时候 adv. (=some time)在某时，在某时 n. 某一时间
sometimes	有时，有时，不时，有时；间或 adv. 有时，有时候；不时，有时；间或
somewhat	adv. 有几分，有点，稍微，有点儿，有几分
somewhere	adv. 在某处，在某处；到某处，某处；某个地方 n.
son	儿子 n. 儿子
sonar	n. 声呐（利用声波探测水下物体的系统）
sonata	n. 奏鸣曲
song	歌曲，歌，歌曲 n. 歌曲，歌，歌曲，歌；歌曲
songbird	n. 鸣禽
sonnet	n. 十四行诗（每行十个音节，韵律规范的诗体）
soon	不久，不久，即刻，很快，不久，很快，很快；不久 adv. 不久，不久；很快，很快，不久，很快，马上，很快；马上，不久，立刻；不久
soon after	不久以后，不久后
sophisticated	adj. 复杂的，精细的，复杂的；高级的，高级的；复杂的
sophomore	n. （高中或大学）二年级学生
sore	adj. 疼痛的，酸痛的，疼痛的；伤心的，疼痛的；酸痛的，（发炎）疼痛的，酸痛的
sore throat	嗓子痛
sorghum	n. 高粱，高梁
sorrow	n. 悲伤；悲痛；懊悔，悲伤，悲伤，悲痛，悲伤，难过，悲伤；悲痛，悲哀，伤心，苦难，悲哀，悲痛
sorrowful	adj. 伤心的，悲伤的
sorry	对不起，对不起的，对不起，不好意思（道歉时用），对不起，抱歉，抱歉的；难过的，抱歉，对不起，抱歉的 adj. 对不起的，抱歉的，对不起，抱歉；难过的，抱歉的；难过的；惋惜的，难过的，遗憾的 interj.
sort	n. 种类，群，种，类 v. 将……分类，整理，将……分类；整理，整理；把……分类
sort of	有几分地，（口语）有点，稍微
sort out	分类，解决（问题或困难），解决；（从一批中）挑出
soul	n. 心灵；灵魂，灵魂，灵魂；心灵；精神，（一个）人
soul music	灵乐
sound	linking v.听起来，听起来，听起来，听上去，声音；听起来好像，听起来好像，声音 adj. 健全的，可靠的，稳健的，能干的 n. 声音，声音；声响 v. 听起来好像，听起来；令人觉得 vi. 听起来 vt.&vi.
sound card	声卡
sound like	听起来像……
soundly	adv. 酣然地
soundproof	adj. 隔音的
soundtrack	n. 声迹
soup	汤 n. 汤
sour	酸的 adj. 酸的；有酸味的，酸的；馊的
source	n. 来源，来源，信息源；根源，原因，来源，出处；起源；源头，来源，水源，来源；出处，来源；根源，来源；水源
source document	源文件
south	南方，南方；向南，南，南部，南方；向南方，南；南部，南，南，南方（的），南；南方；南部 adj.  adv.  n. 南部；南方 n.&adj. ＆ adv.南，南方 n.&adv. 南方
south-east	n.&adj. ＆adv.东南方
south-eastern	adj. 东南部的；东南方向的
south-west	n. 西南 n.&adj. ＆adv.西南方
southeast	东南 adj.  n. 东南，东南方；东南地区，东南，东南方 n.&adv. 东南
southeastern	adj. 东南方的；来自东南的
southern	adj. 南方的，南方的，南部的，南部的；来自南方的
southwest	西南 adj.  adv. 在西南方 n. 西南 n.&adj. 西南（的）
southwestern	adj. 西南方的；朝（来自）西南方的，西南的；西南方向的
souvenir	n. 纪念品，纪念物，纪念品，纪念物；纪念品
sow	(sowed,sown/sowed) vt.播种；散布 v. 播种 vi. 播种 vt.&vi. 播（种），(sowed; sown, sowed) 播种；传播
soy	n. 大豆（作物）；大豆食物
soya	n. 大豆食物[=soy（AE）]
soya milk	豆浆
soybean	n. 大豆(=soyabean)，大豆，黄豆
space	太空，宇宙，太空 n. 太空，太空；空间，太空；空间；距离，空间，空间；空地
space capsule	太空舱
space flight	太空飞行
space program	太空项目
space shuttle	太空船，航天飞机
space station	太空站，太空站；宇宙空间站
space suit	太空服
space travel	航天旅行
spacecraft	n. (pl. spacecraft)航天器；宇宙飞船，[单复同]宇宙飞船，航天器，宇宙飞船，航天器，宇宙飞船
spaceman	宇航员 n. 宇航员；航天专家
spaceport	n. 宇航基地
spaceship	太空船，宇宙飞船 n. 太空船，宇宙飞船，宇宙飞船，太空船，宇宙飞船；太空船，航天器；宇宙飞船
spacesuit	n. 太空服，宇航服，宇航服；航天服，航天服，航天服，宇航服
spacewalk	n. 太空漫步
spade	n. 铲，铁锨，铲；铁锹，铲；锹
spaghetti	意大利面 n. 意大利细面条，意大利面条，意大利式细面条
span	n. 时距；期间
spank	v. 打（小孩）屁股
spare	adj. 空余的；备用的，空闲的，空闲的；多余的，空闲的；空余的，空闲的；闲置的 v. 饶恕，免除，赦免 vt.
spare somebody from	使某人免于……
spare time	业余时间；闲暇
spark	v. 触发，引起，激发，导致，点燃
sparrow	n. 麻雀
sparse	adj. 稀少的，稀疏的，稀疏的；稀少的
spatial	adj. 空间的
speak	说，说话，说话，讲话，说，讲，说，讲；谈话；交谈，说；谈话，会说；会讲（某种语言）；用（某种语言）说话，讲，说，讲；说，说（某种语言），谈话；说 v. 讲，说；谈话，说话，讲话，说（某种语言）；说话，说；讲；演讲
speak English	说英语
speak highly of	对……评价很高，高度赞扬
speak of	提起，谈及，说到
speak one's mind	说出某人的想法
speak out	大胆地说；大声地，表达；说出
speak out against	直言不讳地反对
speak up	大声地说，自由而大胆地说出，大点声说
speaker	n. 扬声器，讲（某种语言）的人；发言者，说某种语言的人，说话人；演讲者，说话者；发音者；扬声器
speakers	话筒
spear	n. 矛，梭镖，标枪，矛；标枪，矛；枪 vt.
special	特别的，特别的；特殊的，特殊的，特别的，特殊的；特别的，特殊，特别 adj. 特别的，专门的，特别的，特殊的，特殊的，特别的，特殊的；特别的 n. （电视）特别节目
special conditions	（投资的）限定条件，限制条款
special offer	n. 特价优惠
specialisation	专业化，专门化
specialist	adj.  n. 专家；专业工作者，专家，专家（尤指医科），专科医师；专家
specialize	v. 专门从事，专攻，专门研究；专攻 vi. 专攻；专门从事；专注于
specially	adv. 专门地，特地
specialty	n. 特制；特色菜，特色食品，特色菜
species	n. 物种，物种；种类，种类，种；物种，（动植物的）物种，种类；物种，（动物或植物的）种
specific	adj. 确切的；特定的，具体的，明确的；特定的；独特的，具体的；特定的，明确的；具体的，详细的；特定的
specifically	adv. 具体地；特别地
specified	adj. 规定的；详细说明的
spectacle	n. 场面；场景，奇观；壮观的场面；令人惊叹的表演
spectacular	adj. 引人入胜的；壮观的，壮观的；富丽堂皇的
spectator	n. 观看者，观众
spectrum	n. 频谱；光谱；范围，幅度
speech	演说，讲演，演说；讲演 n. 发言；演讲，演讲，演讲；发言，演说，讲话，发言；台词，演说；发言，演说；讲演，言语；演讲，讲话；发言
speech recognition	语音识别
speed	速度 n. 安非他明（一种兴奋剂），速度 v.
speed by	很快地过去；飞逝
speed up	加速，（使）加速
speediness	n. 快速；迅速
spell	拼写，拼写，拼出，拼读，拼写 n.  v. (spelt，spelt)用字母拼；拼写，拼写，用字母拼；拼写，（spelled/spelled 或spelt/spelt）拼写；拼出；拼成，（spelled/spelled或spelt/spelt）拼写 vt.  vt.&vi. 拼写
spell into	把（单词）拼写到……里
spell out	拼出（某字）
spell sth. out	拼出；读出
spellbind	vt. (spellbound, spellbound)迷住；迷惑
spelling	n. 拼写，拼写；拼法，拼法；拼写
spend	度过，花费 v. 花费（金钱、时间等）；度过，花（时间、钱等），花（时间）；度过，花（钱、时间），花（钱）；花费，（spent/spent）用（钱）；花（钱） vt. 度过，花费（时间或金钱）
spend time	花时间，花费时间
spend time doing sth	花时间做……
spend time on/doing sth.	花时间做某事
spent	（spend的过去式）度过
sphere	天体
spice	n. 香料，香料，调味品 vt. 增添情趣
spice up...with	用……增添情趣
spicy	辣的
spider	蜘蛛 n. 蜘蛛
spike	刺
spill	v. 溢出 vi.  vi.&vt. 洒出，溅出 vt.
spin	 n. 快速旋转，旋转 v. （使）快速旋转 vi. 快速旋转 vi.&vt. (spun, spun)（使）旋转；纺（线或纱） vt. 快速旋转
spin-off	n. 附带的结果；副产品
spinach	n. 菠菜
spinning top	抽陀螺（一种儿童游戏）
spirit	n. 勇气；意志，情绪，心境；精神，情绪；精神，精灵；神灵；精神，精神，精神；幽灵；灵魂，精神；精灵，鬼怪
spirits	n. [pl.]情绪；心境
spiritual	adj. 宗教的，教会的；精神的，精神上的，精神的，心灵的
spit	(spat，spat)vi.&vt.吐唾沫（表示愤怒或鄙视）；吐，唾（唾沫、食物等），吐痰 v. 吐出（唾液），吐，唾 vi. 吐口水，吐痰 vt.
splash	v. （液体）溅落；飞溅
splashdown	n. （宇宙飞船）在海中溅落
splendid	adj. 壮丽的；辉煌的；极好的，极佳的，非常好的，极佳的，非常好的；壮观的，极好的；优秀的，极好的；壮丽的
splendour	n. 光辉，光彩；壮丽，壮观；华丽；辉煌 (splendor)，华丽，辉煌；壮观，壮丽；杰出；壮观
split	(split. split)vi.&vt.分割，（使）分开；撕开，割破 n.  v. 劈开，切开 vi. 分开，分离 vt.  vt.&vi. 分开；分离
split off from	脱离，分离
split up	分组，分解；分离，（使）解散；决裂
spoil	v. 搞坏，弄糟 vt. 宠坏；破坏，损坏；宠坏
spoke	（speak的过去式）说（某种语言）
spoken	adj. 口语的，口头的
spokesman	n. 发言人，发言人(spokeswoman)，发言人；代言人
spokeswoman	n. 女发言人，女发言人，女代言人
sponsor	n. 担保人；发起人；赞助者，倡议者，发起者，赞助商 v. 赞助（活动、节目等） vt. 赞助
spoon	勺，勺子 n. 勺，匙，勺；调羹，匙勺，匙，调羹，匙；勺子 v.
spoon of	勺
spoonful	n. 一匙之量
sport	体育运动，运动 n. 体育运动，运动
sport-lover	运动爱好者
sporting	adj. 喜爱运动的；有体育风尚的
sports	体育运动的，体育运动用的，运动
sports centre	体育中心
sports day	运动日
sports field	体育场
sports meeting	运动会
sportsman	n. （尤指职业的）运动员
sportsmanship	n. 运动精神
sportspeople	n. 爱好运动的人；运动员
sportsperson	n. 运动员
sportswear	n. 运动服装，运动服装；休闲服装
